MatchID,Blue_Team,Purp_Team,Blue_Tower,Blue_Inhib,Blue_Baron,Blue_Dragon,Purp_Tower,Purp_Inhib,Purp_Baron,Purp_Dragon,Blue_Kills,Blue_Assists,Blue_Gold,Purp_Kills,Purp_Assists,Purp_Gold,Blue_BookOdds,Purp_BookOdds,Blue_ModelOdds,Purp_ModelOdds
104169295295198347,MAD Lions,Schalke 04,1,0,0,1,1,0,0,2,5,10,30728,6,12,32806,2.26,1.57,4.54,1.17
104169295295198347,MAD Lions,Schalke 04,1,0,0,1,2,0,0,2,5,10,31102,6,12,33444,2.26,1.57,6.98,1.07
104169295295198347,MAD Lions,Schalke 04,1,0,0,1,2,0,0,2,5,10,31425,6,12,33552,2.26,1.57,6.28,1.09
104169295295198347,MAD Lions,Schalke 04,2,0,0,1,2,0,0,2,5,10,32155,6,12,33957,2.26,1.57,4.02,1.21
104169295295198347,MAD Lions,Schalke 04,2,0,0,1,2,0,0,2,5,10,32368,6,12,34169,2.26,1.57,4.02,1.21
104169295295198347,MAD Lions,Schalke 04,2,0,0,1,2,0,0,2,5,10,32709,6,12,34278,2.26,1.57,3.64,1.25
104169295295198347,MAD Lions,Schalke 04,2,0,0,1,2,0,0,2,5,10,32813,6,12,34465,2.26,1.57,3.77,1.23
104169295295198347,MAD Lions,Schalke 04,2,0,0,1,2,0,0,2,6,13,33560,7,13,35353,2.26,1.57,3.55,1.26
104169295295198347,MAD Lions,Schalke 04,2,0,0,1,2,0,0,2,6,13,33663,7,13,35456,2.26,1.57,3.55,1.26
104169295295198347,MAD Lions,Schalke 04,3,0,0,1,2,0,0,2,7,15,37197,7,13,38196,1.85,1.85,2.01,1.73
104169295295198347,MAD Lions,Schalke 04,3,0,0,1,2,0,0,2,7,15,37440,7,13,38424,1.85,1.85,2.0,1.74
104169295295198347,MAD Lions,Schalke 04,3,0,0,1,2,0,0,2,7,15,37683,7,13,38594,1.85,1.85,1.96,1.77
104169295295198347,MAD Lions,Schalke 04,3,0,0,1,2,0,0,2,7,15,37849,7,13,38848,1.85,1.85,2.01,1.73
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,1.99,1.85,1.87
